Destination Port,Flow Duration,Total Fwd Packets,Total Length of Fwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,PSH Flag Count,ACK Flag Count,Average Packet Size,Subflow Fwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Max,Active Min,Idle Mean,Idle Max,Idle Min,Attack Type
21,8761958,9,109,26,0,12.11111111,9.980536614,34,0,12.53333333,14.54975045,33.89653317,2.739113792,380954.6957,991653.2595,3134396,4,6100823,762602.875,1411637.566,3175646,48,8761837,625845.5,1224392.299,3134396,4,296,488,1.027167672,1.71194612,0,34,11.88,12.76166133,162.86,0,1,0,12.375,109,29200,227,6,32,0.0,0,0,0.0,0,0,Brute Force
21,9679375,9,101,22,0,11.22222222,8.828615092,34,0,12.53333333,14.54975045,29.85729967,2.479498935,420842.3913,1093448.349,3263495,3,6374574,796821.75,1473355.528,3215699,251,9679318,691379.8571,1349797.358,3263495,3,296,488,0.9298121,1.549686834,0,34,11.56,12.47691201,155.6733333,0,1,0,12.04166667,101,29200,227,6,32,0.0,0,0,0.0,0,0,Brute Force
49671,51,1,6,6,6,6.0,0.0,6,6,6.0,0.0,470588.2353,78431.37255,17.0,25.15949125,46,1,0,0.0,0.0,0,0,5,2.5,2.121320344,4,1,20,60,19607.84314,58823.52941,6,6,6.0,0.0,0.0,0,0,1,7.5,6,252,2049,0,20,0.0,0,0,0.0,0,0,Normal Traffic
80,5276930,3,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.758016498,1758976.667,3045870.54,5276045,126,5276930,2638465.0,3730101.408,5276045,885,0,0.0,0.0,0,0,104,40,0.568512374,0.189504125,0,0,0.0,0.0,0.0,0,1,0,0.0,0,29200,28960,0,32,0.0,0,0,0.0,0,0,Web Attacks
80,877,2,8,6,2,4.0,2.828427125,2,2,2.0,0.0,11402.50855,3420.752566,438.5,447.5985925,755,122,877,877.0,0.0,877,877,0,0.0,0.0,0,0,44,24,2280.50171,1140.250855,2,6,3.0,2.0,4.0,0,1,0,4.0,8,1024,29200,1,20,0.0,0,0,0.0,0,0,Port Scanning
21,231,2,14,14,0,7.0,9.899494937,0,0,0.0,0.0,60606.06061,12987.01299,115.5,127.9863274,206,25,231,231.0,0.0,231,231,0,0.0,0.0,0,0,64,20,8658.008658,4329.004329,0,14,7.0,8.082903769,65.33333333,0,0,1,9.333333333,14,229,0,0,32,0.0,0,0,0.0,0,0,Brute Force
80,671,2,8,6,2,4.0,2.828427125,2,2,2.0,0.0,14903.12966,4470.938897,335.5,296.2777413,545,126,671,671.0,0.0,671,671,0,0.0,0.0,0,0,44,24,2980.625931,1490.312966,2,6,3.0,2.0,4.0,0,1,0,4.0,8,1024,29200,1,20,0.0,0,0,0.0,0,0,Port Scanning
80,4730808,4,24,6,6,6.0,0.0,0,0,0.0,0.0,5.073129157,0.845521526,1576936.0,2730727.923,4730109,244,4730808,1576936.0,2730727.923,4730109,244,0,0.0,0.0,0,0,80,0,0.845521526,0.0,6,6,6.0,0.0,0.0,0,0,1,7.5,24,256,-1,3,20,0.0,0,0,0.0,0,0,DDoS
80,446543,3,26,20,0,8.666666667,10.26320288,10135,0,2321.4,4413.201989,26051.24255,17.91540792,63791.85714,168200.053,445233,3,1034,517.0,726.9057711,1031,3,446449,111612.25,222414.2697,445233,5,72,112,6.718277971,11.19712995,0,10135,1292.555556,3350.634907,11200000.0,0,1,0,1454.125,26,8192,229,2,20,0.0,0,0,0.0,0,0,DDoS
80,5667031,3,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.705836972,1889010.333,3271071.211,5666118,108,5667031,2833515.5,4005904.872,5666118,913,0,0.0,0.0,0,0,104,40,0.529377729,0.176459243,0,0,0.0,0.0,0.0,0,1,0,0.0,0,29200,28960,0,32,0.0,0,0,0.0,0,0,Web Attacks
80,139720,3,26,20,0,8.666666667,10.26320288,7215,0,2321.4,3327.769794,83259.37589,57.25737189,19960.0,52327.65963,138626,3,867,433.5,608.8189386,864,3,139703,34925.75,69134.64283,138626,4,72,112,21.47151446,35.78585743,0,7215,1292.555556,2650.585648,7025604.278,0,1,0,1454.125,26,8192,229,2,20,0.0,0,0,0.0,0,0,DDoS
80,7107579,4,24,6,6,6.0,0.0,0,0,0.0,0.0,3.376677206,0.562779534,2369193.0,4102963.359,7106887,336,7107579,2369193.0,4102963.359,7106887,336,0,0.0,0.0,0,0,80,0,0.562779534,0.0,6,6,6.0,0.0,0.0,0,0,1,7.5,24,256,-1,3,20,692.0,692,692,7106887.0,7106887,7106887,DDoS
21,9208230,9,101,23,0,11.22222222,8.941165721,34,0,12.53333333,14.54975045,31.38496758,2.60636409,400357.8261,1048344.642,3500936,3,6175125,771890.625,1448229.804,3545452,4,9208131,657723.6429,1295224.999,3500936,3,296,488,0.977386534,1.628977556,0,34,11.56,12.50359948,156.34,0,1,0,12.04166667,101,29200,227,6,32,0.0,0,0,0.0,0,0,Brute Force
21,8458452,9,106,23,0,11.77777778,9.444281044,34,0,12.53333333,14.54975045,34.75813305,2.837398616,367758.7826,953192.3297,2913102,3,5676428,709553.5,1313818.964,2960369,3,8458378,604169.8571,1176344.783,2913102,3,296,488,1.064024481,1.773374135,0,34,11.76,12.62365504,159.3566667,0,1,0,12.25,106,29200,227,6,32,0.0,0,0,0.0,0,0,Brute Force
444,124,1,0,0,0,0.0,0.0,6,6,6.0,0.0,48387.09677,16129.03226,124.0,0.0,124,124,0,0.0,0.0,0,0,0,0.0,0.0,0,0,40,20,8064.516129,8064.516129,0,6,2.0,3.464101615,12.0,0,1,0,3.0,0,29200,0,0,40,0.0,0,0,0.0,0,0,Port Scanning
21,829,3,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,4825.09047,276.3333333,205.2567498,491,82,829,414.5,224.1528496,573,256,0,0.0,0.0,0,0,104,40,3618.817853,1206.272618,0,0,0.0,0.0,0.0,0,1,0,0.0,0,29200,28960,0,32,0.0,0,0,0.0,0,0,Port Scanning
80,5658025,3,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.706960468,1886008.333,3265895.839,5657140,130,5658025,2829012.5,3999576.267,5657140,885,0,0.0,0.0,0,0,104,40,0.530220351,0.176740117,0,0,0.0,0.0,0.0,0,1,0,0.0,0,29200,28960,0,32,0.0,0,0,0.0,0,0,Web Attacks
21,4,2,14,14,0,7.0,9.899494937,0,0,0.0,0.0,3500000.0,500000.0,4.0,0.0,4,4,4,4.0,0.0,4,4,0,0.0,0.0,0,0,64,0,500000.0,0.0,0,14,9.333333333,8.082903769,65.33333333,0,0,1,14.0,14,229,-1,0,32,0.0,0,0,0.0,0,0,Brute Force
444,119,1,2,2,2,2.0,0.0,6,6,6.0,0.0,67226.89076,16806.72269,119.0,0.0,119,119,0,0.0,0.0,0,0,0,0.0,0.0,0,0,24,20,8403.361345,8403.361345,2,6,3.333333333,2.309401077,5.333333333,0,1,0,5.0,2,1024,0,0,24,0.0,0,0,0.0,0,0,Port Scanning
53,190,2,102,51,51,51.0,0.0,112,112,112.0,0.0,1715789.474,21052.63158,63.33333333,106.2324495,186,2,186,186.0,0.0,186,186,2,2.0,0.0,2,2,64,64,10526.31579,10526.31579,51,112,75.4,33.41107601,1116.3,0,0,0,94.25,102,-1,-1,1,32,0.0,0,0,0.0,0,0,Normal Traffic
123,16250,1,48,48,48,48.0,0.0,48,48,48.0,0.0,5907.692308,123.0769231,16250.0,0.0,16250,16250,0,0.0,0.0,0,0,0,0.0,0.0,0,0,32,32,61.53846154,61.53846154,48,48,48.0,0.0,0.0,0,0,0,72.0,48,-1,-1,0,32,0.0,0,0,0.0,0,0,Normal Traffic
21,648,2,8,6,2,4.0,2.828427125,2,2,2.0,0.0,15432.09877,4629.62963,324.0,360.6244584,579,69,648,648.0,0.0,648,648,0,0.0,0.0,0,0,44,24,3086.419753,1543.209877,2,6,3.0,2.0,4.0,0,1,0,4.0,8,1024,29200,1,20,0.0,0,0,0.0,0,0,Port Scanning
22,700,2,8,6,2,4.0,2.828427125,2,2,2.0,0.0,14285.71429,4285.714286,350.0,306.884343,567,133,700,700.0,0.0,700,700,0,0.0,0.0,0,0,44,24,2857.142857,1428.571429,2,6,3.0,2.0,4.0,0,1,0,4.0,8,1024,29200,1,20,0.0,0,0,0.0,0,0,Port Scanning
21,248,2,14,14,0,7.0,9.899494937,0,0,0.0,0.0,56451.6129,12096.77419,124.0,65.05382387,170,78,248,248.0,0.0,248,248,0,0.0,0.0,0,0,64,20,8064.516129,4032.258065,0,14,7.0,8.082903769,65.33333333,0,0,1,9.333333333,14,229,0,0,32,0.0,0,0,0.0,0,0,Brute Force
